/S64 X,/S64 Y,/S63 X,/S63 Y,/S62 X,/S62 Y,/S61 X,/S61 Y,/S60 X,/S60 Y,/S59 X,/S59 Y,/S58 X,/S58 Y,/S57 X,/S57 Y,/S56 X,/S56 Y,/S55 X,/S55 Y,/S54 X,/S54 Y,/S53 X,/S53 Y,/S52 X,/S52 Y,/S51 X,/S51 Y,/S50 X,/S50 Y,/S49 X,/S49 Y,/S48 X,/S48 Y,/S47 X,/S47 Y,/S46 X,/S46 Y,/S45 X,/S45 Y,/S44 X,/S44 Y,/S43 X,/S43 Y,/S42 X,/S42 Y,/S41 X,/S41 Y,/S40 X,/S40 Y,/S39 X,/S39 Y,/S38 X,/S38 Y,/S37 X,/S37 Y,/S36 X,/S36 Y,/S35 X,/S35 Y,/S34 X,/S34 Y,/S33 X,/S33 Y,/S32 X,/S32 Y,/S31 X,/S31 Y,/S30 X,/S30 Y,/S29 X,/S29 Y,/S28 X,/S28 Y,/S27 X,/S27 Y,/S26 X,/S26 Y,/S25 X,/S25 Y,/S24 X,/S24 Y,/S23 X,/S23 Y,/S22 X,/S22 Y,/S21 X,/S21 Y,/S20 X,/S20 Y,/S19 X,/S19 Y,/S18 X,/S18 Y,/S17 X,/S17 Y,/S16 X,/S16 Y,/S15 X,/S15 Y,/S14 X,/S14 Y,/S13 X,/S13 Y,/S12 X,/S12 Y,/S11 X,/S11 Y,/S10 X,/S10 Y,/S9 X,/S9 Y,/S8 X,/S8 Y,/S7 X,/S7 Y,/S6 X,/S6 Y,/S5 X,/S5 Y,/S4 X,/S4 Y,/S3 X,/S3 Y,/S2 X,/S2 Y,/S1 X,/S1 Y
2.50E-09,1.799999455,2.50E-09,1.799999455,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,1.08E-06,2.50E-09,1.08E-06,2.50E-09,1.08E-06,2.50E-09,1.08E-06,2.50E-09,1.08E-06,2.50E-09,1.08E-06,2.50E-09,1.08E-06,2.50E-09,1.08E-06,2.50E-09,1.08E-06,2.50E-09,1.08E-06,2.50E-09,1.08E-06,2.50E-09,1.08E-06,2.50E-09,1.08E-06,2.50E-09,1.08E-06,2.50E-09,1.08E-06,2.50E-09,1.08E-06,2.50E-09,1.07E-06,2.50E-09,1.07E-06,2.50E-09,1.07E-06,2.50E-09,1.07E-06,2.50E-09,1.07E-06,2.50E-09,1.07E-06,2.50E-09,1.07E-06,2.50E-09,1.07E-06,2.50E-09,1.06E-06,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07,2.50E-09,3.26E-07
7.50E-09,0.001130603,7.50E-09,1.799999454,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,1.08E-06,7.50E-09,1.08E-06,7.50E-09,1.08E-06,7.50E-09,1.08E-06,7.50E-09,1.08E-06,7.50E-09,1.08E-06,7.50E-09,1.08E-06,7.50E-09,1.08E-06,7.50E-09,1.08E-06,7.50E-09,1.08E-06,7.50E-09,1.08E-06,7.50E-09,1.08E-06,7.50E-09,1.08E-06,7.50E-09,1.08E-06,7.50E-09,1.08E-06,7.50E-09,1.08E-06,7.50E-09,1.07E-06,7.50E-09,1.07E-06,7.50E-09,1.07E-06,7.50E-09,1.07E-06,7.50E-09,1.07E-06,7.50E-09,1.07E-06,7.50E-09,1.07E-06,7.50E-09,1.07E-06,7.50E-09,1.06E-06,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,3.26E-07,7.50E-09,1.799996337,7.50E-09,1.799999435
